LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,49897
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
3.781195e-006,0.0019823007
3.781595e-006,0.00195583081
3.781995e-006,0.00193524312
3.782395e-006,0.00192347872
3.782795e-006,0.00191906707
3.783195e-006,0.00192200817
3.783595e-006,0.00193377257
3.783995e-006,0.00195141916
3.784395e-006,0.00197788905
3.784795e-006,0.00201024114
3.785195e-006,0.00205141653
3.785595e-006,0.00209847411
3.785995e-006,0.00215141389
3.786395e-006,0.00221170642
3.786795e-006,0.0022764106
3.787195e-006,0.00234846752
3.787595e-006,0.0024249361
3.787995e-006,0.00250728687
3.788395e-006,0.00259257874
3.788795e-006,0.0026837528
3.789195e-006,0.00277786797
3.789595e-006,0.00287492424
3.789995e-006,0.0029749216
3.790395e-006,0.00307786007
3.790795e-006,0.00318226908
3.791195e-006,0.00328667809
3.791595e-006,0.00339255765
3.791995e-006,0.00349990777
3.792395e-006,0.00360578733
3.792795e-006,0.00371166689
3.793195e-006,0.00381607591
3.793595e-006,0.00391754382
3.793995e-006,0.00401901173
3.794395e-006,0.004116068
3.794795e-006,0.00421165372
3.795195e-006,0.00430429833
3.795595e-006,0.0043925313
3.795995e-006,0.00447635262
3.796395e-006,0.0045557623
3.796795e-006,0.00463076032
3.797195e-006,0.00470134669
3.797595e-006,0.00476752142
3.797995e-006,0.00482781395
3.798395e-006,0.00488222428
3.798795e-006,0.00493075241
3.799195e-006,0.0049748689
3.799595e-006,0.00501163263
3.799995e-006,0.00504398472
3.800395e-006,0.00506898406
3.800795e-006,0.00508957176
3.801195e-006,0.00510427725
3.801595e-006,0.00511310055
3.801995e-006,0.00511604165
3.802395e-006,0.0051145711
3.802795e-006,0.00510721835
3.803195e-006,0.00509545396
3.803595e-006,0.00507780736
3.803995e-006,0.00505721967
3.804395e-006,0.00503074978
3.804795e-006,0.00500133879
3.805195e-006,0.00496751615
3.805595e-006,0.00493075241
3.805995e-006,0.00488957703
3.806395e-006,0.00484693109
3.806795e-006,0.00480134406
3.807195e-006,0.00475428648
3.807595e-006,0.00470428779
3.807995e-006,0.00465281856
3.808395e-006,0.00460134933
3.808795e-006,0.004546939
3.809195e-006,0.00449399922
3.809595e-006,0.00443958889
3.809995e-006,0.0043866491
3.810395e-006,0.00433370932
3.810795e-006,0.00428076954
3.811195e-006,0.00422930031
3.811595e-006,0.00417930163
3.811995e-006,0.00413077349
3.812395e-006,0.00408518646
3.812795e-006,0.00403959943
3.813195e-006,0.00399695349
3.813595e-006,0.00395724866
3.813995e-006,0.00392048492
3.814395e-006,0.00388519173
3.814795e-006,0.00385283964
3.815195e-006,0.00382342865
3.815595e-006,0.00379695876
3.815995e-006,0.00377342997
3.816395e-006,0.00375284228
3.816795e-006,0.00373519568
3.817195e-006,0.00372049019
3.817595e-006,0.00370872579
